Id,PostId,VoteTypeId,CreationDate
2045484,672939,2,2009-03-24T00:00:00.000
2047216,672939,2,2009-03-24T00:00:00.000
2048856,374734,2,2009-03-24T00:00:00.000
2048857,374750,2,2009-03-24T00:00:00.000
2073514,687003,2,2009-03-26T00:00:00.000
2073517,687003,2,2009-03-26T00:00:00.000
2073520,687003,2,2009-03-26T00:00:00.000
2073536,687003,2,2009-03-26T00:00:00.000
2073572,687003,2,2009-03-26T00:00:00.000
2073663,687003,2,2009-03-26T00:00:00.000
2073753,687003,2,2009-03-26T00:00:00.000
2073759,687080,2,2009-03-26T00:00:00.000
2073812,687080,2,2009-03-26T00:00:00.000
2073826,687080,2,2009-03-26T00:00:00.000
2074050,687080,2,2009-03-26T00:00:00.000
2074054,687080,2,2009-03-26T00:00:00.000
2074096,687080,2,2009-03-26T00:00:00.000
2074100,687003,2,2009-03-26T00:00:00.000
2074118,687080,2,2009-03-26T00:00:00.000
2074120,687003,2,2009-03-26T00:00:00.000
2074171,687080,2,2009-03-26T00:00:00.000
2074282,687080,2,2009-03-26T00:00:00.000
2077148,688089,2,2009-03-27T00:00:00.000
2077224,688101,2,2009-03-27T00:00:00.000
2077225,688101,2,2009-03-27T00:00:00.000
2083352,687003,2,2009-03-27T00:00:00.000
2083365,687080,2,2009-03-27T00:00:00.000
2084808,688101,1,2009-03-27T00:00:00.000
2084809,688101,2,2009-03-27T00:00:00.000
2087135,687080,1,2009-03-27T00:00:00.000
2087137,687080,2,2009-03-27T00:00:00.000
2094242,691915,2,2009-03-29T00:00:00.000
2097476,672918,2,2009-03-29T00:00:00.000
